UI_Number,Summary
18782;I want an application that allows users to manage files on their device’s internal storage and SD card. The application should display a list of directories and files, showing the name, type (directory or file), and number of items within each directory. Users should be able to navigate between different storage locations, specifically 'Internal SD', 'Root', and 'SD Card,' using tabs at the top of the screen. The app should have a bottom navigation bar with icons for common file management actions, such as downloading, searching, creating new folders, and sorting files. Each directory should display a star icon that allows users to mark it as a favorite. A lock icon should be displayed next to each directory. The application should display the total and available storage space at the top of the screen. The design should be clean and easy to navigate, with a simple color scheme. The application should have an option to access an 'Appstore' functionality. The app should have a hamburger menu in the top left. There should be a search icon and other icons in the top right.
18784;The application should allow users to browse and manage files stored on their device. The app should display the available storage space, showing both used and total capacity. Users should be able to navigate different storage locations, such as 'Internal SD,' 'Root,' and potentially other named folders. The app should display a list of files and folders in the current location, including the file name, type (e.g., 'Image'), and size. Users should be able to view a thumbnail preview of images. There should be icons next to each file or folder, representing actions like locking/unlocking (for privacy), and favoriting/starring. The bottom navigation bar should include icons for common actions such as downloading, searching, adding new content, sharing, refreshing the view, and sorting. The design should be clean and functional, allowing easy browsing of files and folders. The color scheme should be predominantly blue. Users should be able to easily identify different file types based on icons and file extensions. The app should provide a way to access an app store.
22151;The application should help users find teaching jobs easily. Users should be able to see a list of available teaching positions. Each job listing should display the job title, the school or organization offering the position, and the location of the job. The app should show how long ago each job was posted (e.g., '6d' for 6 days ago). There should be a visual indicator for new job postings (e.g., a 'NEW' tag). Users should be able to filter the job listings based on keywords and location. The current search keywords and location should be displayed prominently at the top of the screen. The app should indicate if a user has already viewed a job listing (e.g., 'Viewed' tag). The design should be clean and easy to navigate. There should be a button to add a new job posting. The app needs to allow applying for a job with a profile using LinkedIn.
30982;The application should function as a directory for the Royal Oman Police (ROP). The app should allow users to find contact information for various ROP locations, such as police stations and headquarters. Users must be able to browse the directory alphabetically by location name. The app should also allow users to browse the directory geographically, presumably showing locations on a map (though this functionality is not explicitly shown in the screenshot). For each listing, the application should display the location name and phone number. Users should be able to initiate a phone call to the listed number directly from the application by tapping a call icon. Users should be able to view the location of each listing on a map, presumably using the map icon. The app should have a clean, professional design with a clear header section. The color scheme should be consistent and easy on the eyes, likely incorporating the colors shown in the screenshot (blues and greens). The app should be intuitive to use with clear visual cues for each function, like the call and map icons. The application should have a prominent 'ROP Directory' title. The app should include a graphical element at the top of the screen, possibly displaying images related to the Royal Oman Police.
3261;The application should allow users to search for residential properties to buy, rent, or browse projects. The app should have tabs for 'Buy,' 'Projects,' and 'Rent' to filter the search. Users must be able to enter a location, project name, or keyword in the search bar. There should be an option to filter for 'PG Only Properties' using a toggle switch. The application should allow users to filter by property type, with options such as Apartment, House/Villa, Builder Floor, and Farm House. Users should be able to specify the desired price range using a slider. The app should allow users to select the desired number of bedrooms using buttons for 1, 2, 3, 4, and 5+. There must be a 'Search' button at the bottom of the screen to initiate the property search. The design should be clean and modern, with a blue and white color scheme. It should be intuitive and easy to navigate. The app should display a map and listing of properties based on the search criteria on the next screen (not shown), after the 'Search' button is tapped.
34346;The application should allow users to manage their professional profile. Users must be able to view and edit their basic profile information, including name, location, email, and phone number. The app needs to have a clear prompt to add personal details to the profile. The application should display employer reviews, including the overall rating and number of reviews. Users must have the ability to request employer reviews through the app. The app should allow users to add a video profile to their account. Users should be prompted to add their professional experience to the profile. The profile page should have navigation icons at the top to access other sections of the app, such as Home, Saved Items, Messaging, Jobs, and the profile itself. The design should be clean and professional, using a predominantly white and blue color scheme. The user interface should be intuitive and easy to navigate, with clear visual cues and actionable buttons. The app should provide helpful tips and encouragement to users to complete their profile for improved job search results. The app needs a search functionality.
34527;The application should allow users to filter property listings based on specific criteria. Users must be able to set a budget range using two dropdown menus for minimum and maximum values. The app should provide options to filter by property type, including Flat, House/Villa, Office Space, PG/Hostel, Other Commercial, and Shop/Showroom. Users should be able to specify the desired number of bedrooms using buttons for 1, 2, 3, 4, and >4 bedrooms. The app must allow users to filter listings based on who posted them: Owner, Builder, or Agent. There should be a 'Reset' button to clear all filter selections. An 'Apply' button must be present to apply the selected filters and display the filtered listings. The design should use a clear, organized layout with distinct sections for each filter category. The color scheme should be consistent and visually appealing. The filter options should be easy to select and deselect. The app should provide a smooth and intuitive filtering experience.
38961;The application should allow users to manage their finances and invoicing. On the main screen, the app should display the user's name (e.g., Grace Chan) at the top. The current available balance should be prominently displayed in USD. Users should be able to tap on the 'Available' amount to view more details about their balance. The app should display recent account activity, with a link to 'View All' activity. There should be sections for 'Unpaid Invoices' and 'Draft Invoices', each showing a count and a link to view details. The bottom navigation bar should provide access to the following sections: Home, Money, Invoicing, and Customers. The design should be clean, modern, and easy to navigate, using a color gradient background at the top. A settings icon should be available in the top right corner.
49794;The application should allow users to connect their phone to other devices and manage files. The app should have a main screen with clearly labeled buttons for key functions, including: 'Connect friends sync file' which allows to connect with friends and sync files, 'Received' files, 'Storage' management, 'My Apps' management, 'Pictures' viewing, 'Videos' viewing and 'Music' playing. The app should display a list of installed applications under the 'My Apps' section, showing their name, size, and installation date. The app should have a bottom navigation bar with icons for 'Phone,' 'Computer,' 'Nearby' devices with a badge notification, and 'Profile.' The top of the screen should display 'Connect phone' as the title, and include search and add buttons. The app should use a clean and simple design with a light color scheme. The icons should be intuitive and easy to understand. The overall experience should be user-friendly and efficient for managing files and connections. The application should have the ability to select specific apps.
49799;I need an application where users can manage their profile information. The profile screen should have the following features: The application should display a user's profile picture, which users must be able to change. Users should be able to set and edit their nickname. There should be a field for users to set a 'What's up' status message. The application should display the user's device information. Users should be able to access a 'Help and FAQ' section. Users should be able to access the application settings. The design should follow a clean and simple aesthetic. The navigation bar should provide access to Phone, Computer, Nearby devices, and Profile screens. The 'Nearby' icon on the navigation bar should visually indicate the number of nearby devices detected. There should be a plus icon '+' on the top right of the screen, which its functionality is yet to be defined.
